Provider_ID,Name,Type,Address,City,Contact
1,Annapoorna Restaurant 95,Supermarket,"63, Civil Lines, Mumbai",Mumbai,+91-7457223434
2,Daily Fresh 55,Restaurant,"8, Anna Salai, Mumbai",Mumbai,+91-7716440495
3,Organic Basket 26,Bakery,"167, Station Road, Chennai",Chennai,+91-8374638893
4,Daily Fresh 36,Restaurant,"195, Park Street, Ahmedabad",Ahmedabad,+91-9287665392
5,Taste of India 20,Grocery Store,"196, Nehru Street, Pune",Pune,+91-7334922156
6,Grand Hotel 46,Supermarket,"155, Gandhi Nagar, Kolkata",Kolkata,+91-9644715695
7,Organic Basket 16,Hotel,"21, Station Road, Ahmedabad",Ahmedabad,+91-7960692397
8,Daily Fresh 25,Bakery,"18, MG Road, Pune",Pune,+91-9166839871
9,City Superstore 30,Restaurant,"98, Gandhi Nagar, Hyderabad",Hyderabad,+91-8485793320
10,Morning Bakery 48,Supermarket,"54, Gandhi Nagar, Pune",Pune,+91-9299799593
11,Star Caterers 82,Grocery Store,"137, Civil Lines, Mumbai",Mumbai,+91-7535470589
12,Taste of India 82,Bakery,"143, Civil Lines, Kolkata",Kolkata,+91-9243352504
13,Royal Catering 5,Supermarket,"103, Gandhi Nagar, Chennai",Chennai,+91-7216837653
14,Green Grocer 84,Hotel,"102, Market Road, Pune",Pune,+91-7468144718
15,Royal Catering 96,Catering Service,"138, Gandhi Nagar, Delhi",Delhi,+91-9447886622
16,Daily Fresh 52,Supermarket,"57, Park Street, Kolkata",Kolkata,+91-8669674686
17,Coastal Foods 7,Restaurant,"40, Park Street, Mumbai",Mumbai,+91-9595499192
18,Star Caterers 9,Hotel,"98, Lake View, Kolkata",Kolkata,+91-8533779352
19,Organic Basket 2,Bakery,"185, Anna Salai, Hyderabad",Hyderabad,+91-9233880381
20,Coastal Foods 83,Supermarket,"29, Gandhi Nagar, Hyderabad",Hyderabad,+91-8424630730
21,Annapoorna Restaurant 93,Bakery,"68, Station Road, Ahmedabad",Ahmedabad,+91-9496733416
22,Delicious Corner 39,Bakery,"130, Lake View, Mumbai",Mumbai,+91-7651730032
23,Coastal Foods 21,Catering Service,"200, Station Road, Pune",Pune,+91-7001888504
24,Heritage Restaurant 3,Restaurant,"93, Gandhi Nagar, Pune",Pune,+91-7784617592
25,Daily Fresh 11,Restaurant,"188, Market Road, Bangalore",Bangalore,+91-9673919071
26,Spice Garden 85,Hotel,"141, Park Street, Delhi",Delhi,+91-7868579163
27,Green Grocer 70,Bakery,"177, Civil Lines, Kolkata",Kolkata,+91-9336150857
28,Healthy Bites 84,Supermarket,"113, Station Road, Kolkata",Kolkata,+91-8479425860
